Facultad ;Total;Hombres;Mujeres 
FAECO;1945;802;1143
Adm. Publica;1092;278;814
Economia;829;424;405
FCNYE;1571;614;957
Enfermeria;595;117;478
Medicina;1172;454;718
Arquitectura;325;174;151
C. Educacion;2736;785;1951
F.C.S;614;285;329
F.Derecho ;2139;865;1274
Humanidades;2869;1401;1468
